Sample,LOLP,EENS,SAIFI,SAIDI,Cost
55901,0.000894438382139854,2.54914938909858,0.000894438382139854,7.83528022754512,108648
55921,0.000894118488582107,2.548237692459,0.000894118488582107,7.83247795997926,108648
55941,0.000893798823760748,2.54732664771813,0.000893798823760748,7.82967769614415,108648
55961,0.000893479387430532,2.54641625417702,0.000893479387430532,7.82687943389146,108648
55981,0.000893160179346564,2.54550651113771,0.000893160179346564,7.8240831710759,108648
56001,0.000892841199264299,2.54459741790325,0.000892841199264299,7.82128890555526,108648
56021,0.00089252244693954,2.54368897377769,0.00089252244693954,7.81849663519037,108648
56041,0.000892203922128442,2.54278117806606,0.000892203922128442,7.81570635784515,108648
56061,0.000891885624587503,2.54187403007438,0.000891885624587503,7.81291807138653,108648
56081,0.000891567554073572,2.54096752910968,0.000891567554073572,7.81013177368449,108648
56101,0.000891249710343844,2.54006167447996,0.000891249710343844,7.80734746261207,108648
56121,0.00089093209315586,2.5391564654942,0.00089093209315586,7.80456513604533,108648
56141,0.000890614702267505,2.53825190146239,0.000890614702267505,7.80178479186334,108648
56161,0.000890297537437011,2.53734798169548,0.000890297537437011,7.79900642794822,108648
56181,0.000889980598422954,2.53644470550542,0.000889980598422954,7.79623004218508,108648
56201,0.000889663884984253,2.53554207220512,0.000889663884984253,7.79345563246206,108648
56221,0.000889347396880169,2.53464008110848,0.000889347396880169,7.79068319667028,108648
56241,0.000889031133870308,2.53373873153038,0.000889031133870308,7.7879127327039,108648
56261,0.000888715095714616,2.53283802278666,0.000888715095714616,7.78514423846003,108648
56281,0.000906167267816848,2.58257671327802,0.000906167267816848,7.93802526607559,NaN
56301,0.000905845366867374,2.58165929557201,0.000905845366867374,7.93520541375819,108648
56321,0.000905523694536674,2.58074252942952,0.000905523694536674,7.93238756414126,108648
56341,0.000905202250581282,2.57982641415665,0.000905202250581282,7.92957171509203,108648
56361,0.000904881034758077,2.57891094906052,0.000904881034758077,7.92675786448076,108648
56381,0.000904560046824285,2.57799613344921,0.000904560046824285,7.92394601018073,108648
56401,0.000904239286537473,2.5770819666318,0.000904239286537473,7.92113615006826,108648
56421,0.000903918753655554,2.57616844791833,0.000903918753655554,7.91832828202265,108648
56441,0.000903598447936784,2.57525557661983,0.000903598447936784,7.91552240392622,108648
56461,0.00090327836913976,2.57434335204832,0.00090327836913976,7.9127185136643,108648
56481,0.000902958517023424,2.57343177351676,0.000902958517023424,7.90991660912519,108648
56501,0.000902638891347056,2.57252084033911,0.000902638891347056,7.90711668820021,108648
56521,0.000902319491870278,2.57161055183029,0.000902319491870278,7.90431874878364,108648
56541,0.000902000318353054,2.5707009073062,0.000902000318353054,7.90152278877275,108648
56561,0.000901681370555683,2.5697919060837,0.000901681370555683,7.89872880606779,108648
56581,0.000901362648238808,2.5688835474806,0.000901362648238808,7.89593679857196,108648
56601,0.000901044151163407,2.56797583081571,0.000901044151163407,7.89314676419145,108648
56621,0.000900725879090797,2.56706875540877,0.000900725879090797,7.89035870083538,108648
56641,0.000900407831782631,2.5661623205805,0.000900407831782631,7.88757260641585,108648
56661,0.0009000900090009,2.56525652565257,0.0009000900090009,7.88478847884788,108648
56681,0.00089977241050793,2.5643513699476,0.00089977241050793,7.88200631604947,108648
56701,0.000899455036066383,2.56344685278919,0.000899455036066383,7.87922611594152,108648
56721,0.000899137885439255,2.56254297350188,0.000899137885439255,7.87644787644788,108648
56741,0.000898820958389877,2.56163973141115,0.000898820958389877,7.87367159549532,108648
56761,0.000898504254681912,2.56073712584345,0.000898504254681912,7.87089727101355,108648
56781,0.000898187774079358,2.55983515612617,0.000898187774079358,7.86812490093517,96398.0000000001
56801,0.000897871516346543,2.55893382158765,0.000897871516346543,7.86535448319572,108648
56821,0.00089755548124813,2.55803312155717,0.00089755548124813,7.86258601573362,108648
56841,0.000897239668549111,2.55713305536497,0.000897239668549111,7.85981949649021,108648
56861,0.000896924078014808,2.5562336223422,0.000896924078014808,7.85705492340972,108648
56881,0.000896608709410875,2.55533482182099,0.000896608709410875,7.85429229443927,108648
56901,0.000896293562503295,2.55443665313439,0.000896293562503295,7.85153160752887,108648
56921,0.000895978637058379,2.55353911561638,0.000895978637058379,7.8487728606314,108648
56941,0.000895663932842767,2.55264220860189,0.000895663932842767,7.84601605170264,108648
56961,0.000895349449623427,2.55174593142677,0.000895349449623427,7.84326117870122,108648
56981,0.000895035187167652,2.55085028342781,0.000895035187167652,7.84050823958863,108648
57001,0.000894721145243066,2.54995526394274,0.000894721145243066,7.83775723232926,108648
57021,0.000894407323617615,2.5490608723102,0.000894407323617615,7.8350081548903,108648
57041,0.000894093722059571,2.54816710786978,0.000894093722059571,7.83226100524184,108648
57061,0.000893780340337533,2.54727396996197,0.000893780340337533,7.82951578135679,108648
57081,0.000893467178220424,2.54638145792821,0.000893467178220424,7.82677248121091,108648
57101,0.000893154235477487,2.54548957111084,0.000893154235477487,7.82403110278279,108648
57121,0.000892841511878293,2.54459830885314,0.000892841511878293,7.82129164405385,108648
57141,0.000892529007192734,2.54370767049929,0.000892529007192734,7.81855410300835,108648
57161,0.000892216721191022,2.54281765539441,0.000892216721191022,7.81581847763335,108648
57181,0.000891904653643693,2.54192826288452,0.000891904653643693,7.81308476591875,108648
57201,0.000891592804321603,2.54103949231657,0.000891592804321603,7.81035296585724,108648
57221,0.000891281172995928,2.54015134303839,0.000891281172995928,7.80762307544433,108648
57241,0.000890969759438165,2.53926381439877,0.000890969759438165,7.80489509267832,108648
57261,0.000890658563420129,2.53837690574737,0.000890658563420129,7.80216901556033,108648
57281,0.000890347584713954,2.53749061643477,0.000890347584713954,7.79944484209424,108648
57301,0.000890036823092093,2.53660494581246,0.000890036823092093,7.79672257028673,108648
57321,0.000889726278327315,2.53571989323285,0.000889726278327315,7.79400219814728,108648
57341,0.000889415950192707,2.53483545804921,0.000889415950192707,7.79128372368811,108648
57361,0.000889105838461673,2.53395163961577,0.000889105838461673,7.78856714492425,108648
57381,0.000888795942907931,2.5330684372876,0.000888795942907931,7.78585245987348,108648
57401,0.000888486263305517,2.53218585042072,0.000888486263305517,7.78313966655633,108648
57421,0.00088817679942878,2.53130387837202,0.00088817679942878,7.78042876299612,108648
57441,0.000887867551052384,2.53042252049929,0.000887867551052384,7.77771974721889,108648
57461,0.000887558517951306,2.52954177616122,0.000887558517951306,7.77501261725344,108648
57481,0.000887249699900837,2.52866164471738,0.000887249699900837,7.77230737113133,108648
57501,0.00088694109667658,2.52778212552825,0.00088694109667658,7.76960400688684,108648
57521,0.00088663270805445,2.52690321795518,0.00088663270805445,7.76690252255698,108648
57541,0.000886324533810674,2.52602492136042,0.000886324533810674,7.7642029161815,108648
57561,0.000886016573721791,2.5251472351071,0.000886016573721791,7.76150518580289,108648
57581,0.000885708827564648,2.52427015855925,0.000885708827564648,7.75880932946632,108648
57601,0.000885401295116404,2.52339369108175,0.000885401295116404,7.7561153452197,108648
57621,0.000885093976154527,2.5225178320404,0.000885093976154527,7.75342323111366,108648
57641,0.000884786870456793,2.52164258080186,0.000884786870456793,7.75073298520151,108648
57661,0.000884479977801287,2.52076793673367,0.000884479977801287,7.74804460553927,108648
57681,0.000884173297966401,2.51989389920424,0.000884173297966401,7.74535809018568,108648
57701,0.000883866830730837,2.51902046758288,0.000883866830730837,7.74267343720213,108648
57721,0.000883560575873599,2.51814764123976,0.000883560575873599,7.73999064465273,108648
57741,0.000883254533174001,2.5172754195459,0.000883254533174001,7.73730971060425,108648
57761,0.000882948702411662,2.51640380187324,0.000882948702411662,7.73463063312616,108648
57781,0.000882643083366505,2.51553278759454,0.000882643083366505,7.73195341029058,108648
57801,0.000882337675818757,2.51466237608346,0.000882337675818757,7.72927804017232,108648
57821,0.000882032479548953,2.51379256671452,0.000882032479548953,7.72660452084883,108648
57841,0.000881727494337926,2.51292335886309,0.000881727494337926,7.72393285040024,108648
57861,0.000881422719966817,2.51205475190543,0.000881422719966817,7.72126302690932,108648
57881,0.000881118156217066,2.51118674521864,0.000881118156217066,7.7185950484615,108648
57901,0.000880813802870417,2.51031933818069,0.000880813802870417,7.71592891314485,108648
57921,0.000880509659708914,2.5094525301704,0.000880509659708914,7.71326461905008,108648
57941,0.000880205726514903,2.50858632056747,0.000880205726514903,7.71060216427055,108648
57961,0.000879902003071031,2.50772070875244,0.000879902003071031,7.70794154690223,108648
57981,0.000879598489160242,2.50685569410669,0.000879598489160242,7.70528276504372,108648
58001,0.000879295184565783,2.50599127601248,0.000879295184565783,7.70262581679626,108648
58021,0.000878992089071198,2.50512745385292,0.000878992089071198,7.6999707002637,108648
58041,0.00087868920246033,2.50426422701194,0.00087868920246033,7.69731741355249,108648
58061,0.000878386524517318,2.50340159487436,0.000878386524517318,7.69466595477171,108648
58081,0.000878084055026601,2.50253955682581,0.000878084055026601,7.69201632203302,108648
58101,0.000877781793772913,2.5016781122528,0.000877781793772913,7.68936851345071,108648
